# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         3         3         2         14        31        213       940.23    1         
6         0         3         3         3         15        31        217       1086.25   1         
6         0         3         3         4         16        31        209       794.21    1         
6         0         3         3         5         17        31        214       976.74    1         
6         0         3         3         6         18        31        219       1159.26   1         
6         0         3         3         8         20        31        206       712.02    1         
6         0         3         3         9         21        31        184       369.94    1         
6         0         3         3         10        22        31        208       757.70    1         
6         0         3         3         11        23        31        211       867.22    1         
6         0         3         3         12        24        31        214       976.74    1         
6         0         3         3         13        25        31        216       1049.75   1         
6         0         3         3         14        26        31        217       1086.25   1         
6         0         3         3         15        27        31        216       1049.75   1         
6         0         3         3         16        28        31        209       794.21    1         
6         0         3         3         17        29        31        219       1159.26   1         
6         0         3         3         19        31        31        220       1195.77   1         
6         0         3         3         20        32        31        211       867.22    1         
6         0         3         3         21        33        31        216       1049.75   1         
6         0         3         3         22        34        31        210       830.71    1         
6         0         3         3         23        35        31        211       867.22    1         
6         0         3         3         24        36        31        213       940.23    1         
6         0         3         3         25        37        31        211       867.22    1         
6         0         3         3         26        38        31        212       903.73    1         
6         0         3         3         27        39        31        215       1013.24   1         
6         0         3         3         28        40        31        218       1122.76   1         
6         0         3         3         29        41        31        218       1122.76   1         
6         0         3         3         30        42        31        216       1049.75   1         
6         0         3         3         31        43        31        219       1159.26   1         
6         0         3         3         32        44        31        204       675.51    1         
6         0         3         3         33        45        31        209       794.21    1         
6         0         3         3         34        46        31        209       794.21    1         
6         0         3         3         35        47        31        201       620.75    1         
6         0         3         3         36        48        31        210       830.71    1         
6         0         3         3         37        49        31        205       693.76    1         
6         0         3         3         38        50        31        209       794.21    1         
6         0         3         3         39        51        31        207       730.27    1         
6         0         3         3         40        52        31        209       794.21    1         
6         0         3         3         41        53        31        213       940.23    1         
6         0         3         3         42        54        31        216       1049.75   1         
6         0         3         3         43        55        31        214       976.74    1         
6         0         3         3         44        56        31        212       903.73    1         
6         0         3         3         45        57        31        214       976.74    1         
6         0         3         3         46        58        31        216       1049.75   1         
6         0         3         3         47        59        31        209       794.21    1         
6         0         3         4         0         84        31        208       757.70    1         
6         0         3         4         1         85        31        213       940.23    1         
6         0         3         4         2         86        31        214       976.74    1         
6         0         3         4         3         87        31        208       757.70    1         
6         0         3         4         4         88        31        213       940.23    1         
6         0         3         4         5         89        31        205       693.76    1         
6         0         3         4         6         90        31        211       867.22    1         
6         0         3         4         7         91        31        212       903.73    1         
6         0         3         4         8         92        31        207       730.27    1         
6         0         3         4         9         93        31        212       903.73    1         
6         0         3         4         10        94        31        202       639.00    1         
6         0         3         4         11        95        31        217       1086.25   1         
6         0         3         4         12        96        31        207       730.27    1         
6         0         3         4         13        97        31        210       830.71    1         
6         0         3         4         14        98        31        213       940.23    1         
6         0         3         4         15        99        31        208       757.70    1         
6         0         3         4         16        100       31        214       976.74    1         
6         0         3         4         17        101       31        211       867.22    1         
6         0         3         4         18        102       31        206       712.02    1         
6         0         3         4         19        103       31        195       511.23    1         
6         0         3         4         20        104       31        211       867.22    1         
6         0         3         4         21        105       31        210       830.71    1         
6         0         3         4         22        106       31        216       1049.75   1         
6         0         3         4         23        107       31        213       940.23    1         
6         0         3         4         24        108       31        210       830.71    1         
6         0         3         4         25        109       31        202       639.00    1         
6         0         3         4         26        110       31        210       830.71    1         
6         0         3         4         27        111       31        202       639.00    1         
6         0         3         4         28        112       31        208       757.70    1         
6         0         3         4         30        114       31        210       830.71    1         
6         0         3         4         31        115       31        204       675.51    1         
6         0         3         4         32        116       31        211       867.22    1         
6         0         3         4         33        117       31        205       693.76    1         
6         0         3         4         34        118       31        211       867.22    1         
6         0         3         4         35        119       31        205       693.76    1         
6         0         3         4         36        120       31        209       794.21    1         
6         0         3         4         38        122       31        203       657.26    1         
6         0         3         4         39        123       31        211       867.22    1         
6         0         3         4         40        124       31        208       757.70    1         
6         0         3         4         41        125       31        209       794.21    1         
6         0         3         4         42        126       31        206       712.02    1         
6         0         3         4         43        127       31        217       1086.25   1         
6         0         3         4         44        128       31        212       903.73    1         
6         0         3         4         45        129       31        216       1049.75   1         
